: homophones-analogy-type-I
caret carat manor manna
mot mow palate pallet
pectin pecten valance valence
i eye mean mesne
bussed bust manner manor
pique peke tis tease
cast caste sheer shear
serous cirrus preys prays
cain cane surge serge
chare chair semen seamen
gaiter gator tolled told
blair blare silence silents
faery fairy knob nob
cere sere fete fate
peke peek trochee troche
key cay steel steal
brays braze polyclinic policlinic
gamin gammon way weigh
logger laager lief leaf
apatite appetite tier tire
cole coal si sea
bused bust wright right
irk erk gneiss nice
furze furs peal peel
wall waul we'd weed
hawed whored referents reference
clue clew nu new
er err parred pard
axel axil cist kist
fold foaled spade spaed
chili chilly ween wean
metal mettle stayed staid
crumby crummie sault sue
cruel crewel sue sault
core corps meed mead
ere heir hanger hangar
bawled bald sown sewn
file faille heal he'll
chantey shanty cosy cosey
bade bad instants instance
serous cirrus mete meat
baler bailer sigh psi
plum plumb referents reference
prophet profit sane seine
col call pores pours
cloze close consultor consulter
collard collared lye lie
buoy boy mantle mantel
conn khan parr pa
leaf lief riot ryot
frieze freeze rabbet rabbit
bees bise use ewes
coquet coquette infusor infuser
pa par penni penny
conquer conker torte tort
bean been grievance grievants
claws clause rough ruff
brays braes douce juice
braise braze tuft toughed
form forme lichen liken
bore boar wail wale
precedence presidents ween wean
bazaar bizarre whin win
coquet coquette shear sheer
formally formerly sold soled
furs furze valance valence
allowed aloud yews use
elicit illicit rain rein
misses missus thrown throne
ere air chiton kitten
bail bale bailey bailee
cubical cubicle fold foaled
matte mat tents tense
liquor licker low lo
staid stade wood would
wrecks rex size sighs
lieder leader sown sewn
froe fro neigh nae
seal ceil holm hom
dyne dine mucous mucus
nock knock subtler sutler
oracle auricle maid made
accede axseed stair stare
roe row size sighs
expedients expedience pencil pensile
li lee sole sol
seas seize sexed sext
kart cart handsome hansom
canvas canvass hurds herds
seraph serif vail veil
ait ate baize bays
allusion elusion wild wiled
kill chyle murderess murderous
ceder seeder miner minor
baloney bologna gourde gaud
meed mead viscous viscus
no know see sea
as ass bruit brut
eyre ere faze fays
climb clime who's whose
nap knap liar lyre
aerie airy ark arc
adds ads mourning morning
feet feat tern turn
grisly gristly populace populous
brut brute remittence remittance
tact tacked waul wall
odd od tail tael
accidence accidents arms alms
bailor bailer pootle poodle
imminent immanent lei lea
illicit elicit jam jamb
foaled fold mayor mare
gorde gored pouf pouffe
route rout style stile
bann ban prince prints
loop loupe rhos roes
cokes coax khan conn
rays raze tier tear
caught court doughs doze
came kame close cloze
meet meat see sea
six sics tor tore
phlox flocks mete meat
disgust discussed leaven levin
wen when yawl y'all
ale ail phiz fizz
floor flaw were whir
serous cirrus inn in
baloney bologna faze fays
nose noes wale whale
adulterous adulteress dissidence dissidents
impatience impatiens lane lain
irk erk spits spitz
lade leid white wight
cachou cashew kernel colonel
axle axel sleight slight
coolie coolly lier liar
lee lea whey weigh
royal roil windless windlass
links lynx she shea
phase faze sigh xi
faery fairy weir we're
fane fain palette pallet
nose knows lei ley
fairy faery tier tyre
flair flare viscous viscus
aloud allowed felloe fellow
kop cop radical radicle
nickel nickle sunn sun
knead kneed roe row
weigh way whit wit
ads adze grisly grizzly
dust dost tic tick
adulteress adulterous fiancee fiance
cowered coward lux luxe
pas pah penni penny
booty bootee fluorescence florescence
banned band sol soul
gorde gourd hay heigh
no know patients patience
fluorescence florescence whale wale
bight byte hose hoes
maize maze mete meet
jibe gibe seraph serif
auntie ante remittents remittence
leer lear sacques sacs
air eyre cash cache
ai eye packs pax
jibe gibe pouffe poof
graft graphed two to
peas pease presser pressor
cellar seller vain vein
kohl coal cowered coward
canter cantor invade inveighed
soared sword spade spayed
nob knob slough slue
bruise brews carrel carol
forth fourth lays laze
hurdle hurtle traitoress traitorous
leas laze nark narc
fore for wright right
cay key redd read
bowed bode erk irk
champagne champaign pah par
kyte kite wit whit
booze boos wraith rathe
pedal peddle whet wet
ate ait gristly grizzly
ghat got rued rood
whore haw pes peas
house hows too two
wrecks rex sale sail
coulis coolie queen quean
divisor devisor you'll yule
disk disc residence residents
pencel pensile royal roil
but butt cist kist
bored board tee tea
dyer dire tenser tensor
lay ley wax wacks
coolly coulis fir fur
far fah fare fayre
ayre ere semen seaman
carrot caret steer stere
coco cocoa shyer shire
chord cored road rowed
bald balled therefor therefore
bode bowed wear ware
toke toque yak yack
sealing ceiling chare chair
chin chine stoop stupe
cops copse tenner tenor
boll bole shear sheer
illusion elusion clairvoyance clairvoyants
rye wry to too
does doze innocents innocence
weir we're whiled wild
ooze oohs reed rede
cete seat missable miscible
auricle oracle plantar planter
fain feign ordnance ordinance
i aye chants chance
cote coat flocs phlox
jeans genes nu knew
awful offal you yew
urn erne sacque sac
fraise phrase marque mark
eyrie aerie polar poler
confectionery confectionary gourde gourd
illicit elicit er err
ore or pries prise
razer raiser rows rhos
accidence accidents waive wave
faille phial swat swot
raiser razer ton tun
cede seed silence silents
li lea radicle radical
ferry faery terne turn
scene seen yoke yolk
dean dene droop drupe
air are feet feat
crummie crumby praise prase
eave eve morning mourning
mein mane passible passable
faery fairy when wen
billed build pattern paten
hawed hoard hight height
ceil seel scents cents
villus villous which witch
bask basque sennit senate
phi fie two to
bean been nae neigh
assent ascent deprivation depravation
roomy rheumy toad towed
cast caste mist missed
resow resew sequence sequents
settlor settler tis tease
cellar seller coulis coolly
nee nay pees pes
not knot pi pie
hale hail precision precisian
ire eyer mousse moose
duct ducked use yews
sheik chic rancor ranker
bise bees forward foreward
eight ate week weak
gait gate wight white
chord cored ordnance ordinance
choler collar dowse douse
psychosis sycosis sac sacque
basque bask stoop stupe
key cay phiz fizz
bussed bust feaze fees
axle axel sick sic
caret karat peke peak
shyer shire whorled whirled
knead kneed vein vain
dewed dude prey pray
acclimation acclamation winned wind
ferry faery scalar scaler
mordant mordent scaler scalar
bi buy pear pair
glare glair holm home
bored board here's hears
chiton kitten spec speck
creak creek wile while
current currant impossible impassible
belligerence belligerents seamen seaman
pease peas torcher torture
peace piece terne tern
meed mead rein reign
jibe gibe nob knob
ewe you pouffe pouf
wrapped rapped strait straight
areal aerial scents cents
col caul drachm dram
ere heir epic epoch
heigh hey want wont
parol parole yaw your
braes brays wrap rap
poky pokey rein reign
intense intents kite kyte
baste based tooter tutor
floor flaw kite kyte
ayes eyes taut torte
mead meed pattern paten
gristly grizzly talk torque
coat cote tahr tar
lightening lightning weld welled
bate bait impassable impassible
nae nay slight sleight
cite site consultor consulter
palette pallet shown shone
gait gate rose roes
complacent complaisant delinquents delinquence
continence continents vial vile
hey hay inductants inductance
site cite dost dust
skull scull wise wyes
cozy cosey hae hey
corral chorale slue slew
burd burred caul call
conn khan who's whose
lade laid weave we've
limb limn mail male
inductants inductance wined wind
ass as precedents presidents
cymbal symbol soul sol
eight ate swayed suede
ate eight cist kissed
redd read resister resistor
klick clique soot suit
dray drey right wright
censer censor least leased
mach mac which witch
nu knew haw whore
bust bused cere seer
ads adds shoot chute
serge surge whirred word
assistants assistance wholly holy
are ayre karat caret
pastor pasta plumb plum
beys baize loathe loath
dependence dependents flock floc
pea pe sleigh slay
loupe loop mast massed
lax lacks slough slew
deprivation depravation soul sol
gilled guild lox lochs
calendar calender their they're
bust bused sore soar
cadi caddie whys wyes
gored gourd inductants inductance
eyed i'd hoc hock
eyer ire pale pail
gopher gofer pour pore
ante anti lays laze
do dew ooze oohs
peace piece weaner wiener
lee li roes rhos
hey heigh sewer sower
rhos rows tulle tool
brooch broach write right
auk awk cent scent
farming pharming quints quince
ere aire lane lain
coax cokes vane vain
bough bow rigor rigger
lay lei weather whether
sane seine wain wane
plate plait seine sane
erupt irrupt villein villain
grade grayed uncle uncal
bogy bogie leis leys
hoe ho maw more
gourde gored higher hire
role roll sorry sari
riot ryot yoke yolk
feral ferule holy wholly
chance chants toque toke
leys leas wind whined
kyte kite tuba tuber
sort sought wheal we'll
gourde gored mast massed
caws cause gourde gourd
censor senser kop cop
healed heeled vale vail
logger lager wield wheeled
leis laze peddle pedal
krona krone six sics
fakir faker roomy roomie
flew flue holey holy
manna manor were whir
buss bus tents tense
correspondence correspondents foreword foreward
sere sear weaver weever
brut brute rung wrung
hight height she shea
heald heeled torque talk
jewel joule sigh psi
karat carat sensor censor
discrete discreet tees tease
aerie airy dew do
bruit brut inn in
chitin kitten valence valance
frieze freeze rho row
beach beech wale whale
bi buy rows rhos
yews youse moan mown
elusion illusion hangar hanger
halve have sycosis psychosis
phrase fraise haze hays
do due idle idyll
joule dual mat matte
beet beat please pleas
innocence innocents spits spitz
jewel dual mantle mantel
nickle nickel senate sennit
dough doe gaud gourde
ceder cedar stupe stoup
jive gyve wheeled weald
burly burley coup coo
bear bare gopher gofer
dust dost rondeau rondo
faery ferry shire shyer
plait plate route rout
sewer suer tier tyre
bused bust wot watt
cum come mic mike
freak phreak jeans genes
loathe loath past passed
quints quince rows rhos
axle axel weekly weakly
gored gourd seaman seamen
graphed graft indite indict
cant can't grizzly grisly
do doh infuser infusor
have halve peer pier
session cession rues roos
patience patients pees pes
liter lieder spitz spits
insight incite lever leaver
canvass canvas fellow felloe
sense scents expedients expedience
pas pa pouffe pouf
ewe you less loess
capitol capital chilly chili
peal peel son sun
foreward foreword lynx links
flu flue wiener weaner
hoarse horse lightening lightning
bailee bailey wind whined
masque mask soot suit
booty bootee fluorescence florescence
nu new maul mall
wall waul weather whether
dour dower whither wither
cole coal tuber tuba
rows rhos sault sue
rood rude saw soar
hurdle hurtle repeal repeel
hangar hanger peal peel
click clique correspondence correspondents
can't cant lays leas
basal basil caret carat
castor caster gays gaze
bust bused penned pend
hold holed maid made
chanty chantey sue sou
fane fain sew so
pearl purl roar raw
chance chants par parr
very vary wave waive
blair blare bourne bourn
asse ass knead need
gest jest week weak
knit nit minks minx
call col find fined
hoc hough wean ween
chitin chiton peke peek
symbol cymbal pah parr
lakh lack turn terne
ale ail salvor salver
delinquence delinquents palette pallet
frieze frees hew hue
aerial areal fissure fisher
leys lase masque mask
boarder border wynd whined
ayre aire complement compliment
sere sear hire higher
broom brougham oh owe
cell cel wen when
mind mined peek pique
censor sensor pouf poof
buy by bite bight
adds ads rung wrung
baste based wright right
cere sear need kneed
fayre fair petrol petrel
plainer planar sower sewer
deuce douce lede lead
receipt reseat sexed sext
cell sell stade stayed
gnus news wether whether
frieze frees sax sacs
coulee coolly feeze fees
passible passable pier peer
stile style toed towed
ant aunt terne tern
islet eyelet vise vice
poll pole spar spa
camera camara lightening lightning
ghat got pare pear
axseed accede forte fought
mourn morn weave we've
breech breach rues roos
maul mall pan panne
ceder seeder complaisant complacent
high hi sigh xi
brut brute waste waist
new knew picnic pyknic
cruise crews foaled fold
sycosis psychosis to two
hock hough pocks pox
came kame gest jest
allusion illusion dependents dependence
pours paws ruse rues
aunt ant towed toed
halve have weigh way
rue roo si sea
birth berth sun sunn
fold foaled roil royal
council counsel horde hoard
home holm valance valence
meed mead sault sou
reck wreck wither whither
gored gourd tee tea
ire eyer wrest rest
gild guild pinon pinion
dower dour hom home
peddle pedal whacks wacks
disperse disburse plait plate
dyne dine passible passable
pick pic tick tic
soul sole whether wether
collar choler crumby crummie
parr pa poler polar
coax cokes tighten titan
aery airy sow so
murderous murderess wynn whin
bailor bailer holed hold
jewel duel equivalence equivalents
choose chews foreword forward
billed build damn dam
hey heigh leas laze
hay heigh instants instance
lei lea sone sown
premier premiere rabbit rabbet
pi pie wacks whacks
eye ai seamen seaman
scents cense kohl coal
loess less spitz spits
fryer friar queen quean
law lore prase prays
chaise shays sacs sax
balled bald pick pic
nu knew lase leis
baler bailor doh doe
sink cinque mowed mode
seraph serif wyes whys
complacent complaisant peke peak
heigh hay nit knit
aide aid spayed spaed
censor senser weight wait
roomy roomie steel steal
collard collared weather whether
guarantee guaranty wave waive
come cum mussel muscle
arms alms flour flower
bays baize wine whine
reck wreck seam seem
cox cocks hose hoes
eyre are sandhi sandy
border boarder poller poler
gristly grisly jive gyve
parr pas paced paste
bowl bole tuft toughed
bite bight borough burro
seed cede sort sought
youse use file phial
cite sight hall haul
born bourne troche trochee
felloe fellow mill mil
cense cents road rowed
nice gneiss laze lays
culler color rale rail
ceiling sealing feat feet
seller sellar yolk yoke
laches latches rime rhyme
copse cops neap neep
knead kneed pah par
graphed graft lade leid
sheik chic immerge emerge
grayed grade humorous humerus
noose nous weald wheeled
hold holed rale rail
pique peek thyme time
seel ceil world whirled
barre bar gaff gaffe
casque cask coulee coolly
caul col leas leys
wiled wild whit wit
lier lyre turbine turban
millenary millinery stile style
ceil seel divisor devisor
lead lede lowed lode
cist kist gin jinn
incite insight set sett
gristly grizzly mike mic
faery fairy mack mach
caries carries narc nark
descendent descendant pair pear
loo lieu mule mewl
its it's planer planar
impassible impossible lock loch
more moor sale sail
ooze oohs overseas oversees
scents cense coal cole
seller cellar logger lager
ferry faery principle principal
kop cop innocents innocence
least leased peace piece
planter plantar source sauce
sault sou sects sex
petrel petrol toll tole
pics pix whet wet
burrow burro hail hale
aerial areal creek creak
airy aery forte fought
sore saw whirl whorl
caster castor fayre fair
ate eight serge surge
hangar hanger heart hart
pas par rhyme rime
chased chaste verdure verger
pees pease rose roes
fellow felloe ryes rise
lance launce premier premiere
serif seraph want wont
phlox flocks tire tier
chough chuff middy midi
hick hic rale rail
sear seer ryes rise
aught ought limb limn
tune toon wheal we'll
wall waul whose who's
bale bail seam seem
galley gally meddler medlar
gyro giro spay spae
adventuress adventurous tale taille
axel axil complete compleat
reign rain seaman seamen
ait eight revue review
i'll aisle low lo
nu new tier tyre
cachou cashew rheum room
plait plate poodle pootle
bald bawled dying dyeing
aide aid lough lock
heel he'll source sauce
bailee bailey salter psalter
cere sear new knew
cede seed mist missed
berg burg wreak reek
pend penned yore yaw
clue clew doe doh
rapt rapped tux tucks
ere eyre mown moan
leis leas soke soak
pharming farming weak week
florescence fluorescence sane seine
ceil seel leaver lever
kart cart immerge emerge
cosine cosign none nun
senate sennet y'all yawl
bassist basest rain reign
dram drachm tell tel
size sighs wheel weal
cirrous serous hae hay
inveighed invade murderess murderous
sight site stater stator
dowse douse feeze fees
brake break condescendents condescendence
chased chaste mustard mustered
drey dray heeled heald
flue flu lier liar
rale rail weald wield
coulis coolie coward cowered
boll bole nice gneiss
sense cents sol soul
infuser infusor resister resistor
steak stake story storey
chronicle chronical spade spayed
ensure insure home hom
lightning lightening pores pours
launce lance word whirred
paste paced pees pes
conquer conker gaffe gaff
ate ait innocence innocents
sacques sax weigh way
peek peke pease pees
bat batt teas tees
devisor divisor indigence indigents
adulteress adulterous praise prase
desert dessert wholly holy
literal littoral passible passable
fayre fair populus populous
doh doe side sighed
roomie rheumy turbine turban
collar choler wring ring
build billed polar poler
cue queue trochee troche
byte bight seller sellar
jewel joule fey fay
gourd gorde hi high
oral aural descent dissent
seat cete due dew
ayre air pix pics
arc ark fees feaze
formerly formally tier tear
foreword foreward there their
kohl coal til till
prays prase spritz sprits
more maw pyx picks
censer censor loon lune
braze brays frees frieze
censor censer incompetents incompetence
confectionary confectionery stere steer
crewed crude mucous mucus
stair stare tenor tenner
praise preys tye tie
impassable impossible middy midi
burg berg leaven levin
law lore lice lyse
aery aerie par pah
allusion elusion rabbet rabbit
dour dower marten martin
crape crepe leaven levin
col caul toad towed
dear deer guaranty guarantee
i'll isle pick pic
kop cop marten martin
seal seel prase preys
heal he'll pas parr
bird burred nigh nye
lac lack mark marc
hoo who morn mourn
hale hail hour our
flower flour resister resistor
allusion elusion you'll yule
crewed crude seam seem
cents scents due do
ide eyed equator equater
marc mark mete meet
hae hay scye xi
add ad guessed guest
descent dissent paw pore
purist purest tale tael
heir aire fairy faery
wholly holey it's its
shea she wild whiled
hick hic pores paws
hale hail planar planer
douce dues weal we'll
divisor deviser faro farrow
know no yoke yolk
bye bi faint feint
krater crater mic mike
faro pharaoh leis leas
depravation deprivation grisly gristly
axle axil basal basil
doe do pi pie
grisly gristly yak yack
lieve leave while wile
gilled guild laches latches
rise ryes shake sheik
seamen semen whined wined
auk orc hist hissed
bald bawled xi scye
awe oar passable passible
gourde gaud pallet palate
chaste chased rhos roes
fees feaze leid lade
byre buyer pique peak
cerate serrate plane plain
foreword foreward rends wrens
choir quire chuff chough
principle principal wheeled wield
braes braise cel cell
kame came rax wracks
cross crosse farmer pharma
censor senser torcher torture
lean lien mandrill mandrel
chaise shays gilled gild
pole poll waive wave
plumb plum spade spaed
misses missus soot suit
i aye sees seas
fiancee fiance torte taught
site sight pe pea
adventuress adventurous one won
leys lays vary very
gassed gast pores pause
adherence adherents tract tracked
cachou cashew pencil pensile
caul call chronicle chronical
barque bark ti tea
farming pharming seen scene
pause pores scye xi
cruise crews mete meet
accidence accidents seas seize
hoop whoop rows roes
heeled heald rapped rapt
cyst cist waive wave
gopher gofer troche trochee
adze adds toad towed
bird burred chitin kitten
chilly chili wholly holey
cedar seeder gored gourd
disc disk leas lays
bred bread resonate resinate
cheque check spar spa
farther father leach leech
seller sellar son sunn
hawed horde wined wind
senser censor counselor councilor
dray drey whiled wild
polyclinic policlinic time thyme
noes nose whet wet
firs furze six sics
swat swot waste waist
floor flaw liar lyre
baud bawd racks rax
canvass canvas stile style
basque bask lieve leave
cent sent groan grown
aire heir by bi
autarky autarchy nee nay
bust bussed populous populace
joule jewel handmaid handmade
coal cole summary summery
marten martin quartz quarts
sennet senate wear ware
erk irk neigh nae
bomb balm wind wined
buy bi consent concent
nap knap wean ween
isle i'll none nun
dude dewed tune toon
crews cruise medlar meddler
are aire senser censer
cordate chordate tees tease
maul mall stayed staid
must mussed wax whacks
here's hears teem team
doh doe musth mussed
putty puttee see sea
cruise cruse sack sacque
ewe you herds hurds
tyre tier whale wail
bar barre riot ryot
col call terse terce
by buy patients patience
chock choc mandrill mandrel
dough do too two
hole whole poor paw
bees bise sere sear
ire eyer traitoress traitorous
cant can't phenyl fennel
seat cete dyeing dying
tael tail weld welled
censer censor far fah
disc disk spore spoor
brassie brassy rung wrung
crumby crummy owe oh
chronicle chronical see sea
bare bear faro pharaoh
mien mesne suer sewer
levy levee more maw
coquet coquette read reed
bask basque lase lays
eyes ayes sellar seller
jalousie jealousy weather whether
bell bel cymbal symbol
wrap rap they're their
ceil seal lee li
cent sent coolly coolie
stoop stupe waul wall
seat cete pocks pox
call col gourde gaud
blew blue marten martin
gnu knew valence valance
paw poor pouf poof
bruise brews ferry faery
eye aye plain plane
me mi welled weld
lase laze stationery stationary
teas tease wind whined
kernel colonel pix pyx
sum some stade staid
guarantee guaranty tix tics
juice dues drey dray
bread bred rued rood
continence continents pharma farmer
loch lock road rode
fay fey wheeled weald
carat carrot flew flue
sight site cosine cosign
calyx calix prays prase
vain vein ware wear
band banned doh doe
phenyl fennel fluorescents florescence
bi bye carat carrot
canape canopy verses versus
cubical cubicle peke peek
senser censor ordinance ordnance
heir aire way weigh
sigh scye rowed rode
crewed crude hawed whored
mustered mustard tied tide
aerial areal pore poor
adolescents adolescence mayor mare
retarred retard wheal wheel
slough slew tell tel
heir ere reed rede
nae nee sweet suite
mutuel mutual presence presents
tale tail whiled wiled
blew blue purest purist
sew sow trey tray
dyne dine yule you'll
aes ease bailer bailor
dower dour urn erne
chews choose sight site
click klick hymn him
phlox flocks roes rows
rapped wrapped sowed sewed
ayre heir stork stalk
erupt irrupt whee wee
faery ferry terne turn
done dun nix nicks
karat carrot sects sex
senser censer faille file
calendar calender calyx calix
craft kraft sandhi sandy
calender calendar fays faze
dents dense remittence remittents
auk orc cue queue
lay ley uncal uncle
quints quince rye wry
bogy bogey confectionery confectionary
doe do pas pah
brows browse wynn win
doe doh wheeled wield
areal aerial whale wale
ire eyer furze furs
loo lieu saw soar
ti tea two to
rue roo tonne ton
bogey bogie medlar meddler
buy bi nu gnu
autarky autarchy gammon gamin
climb clime turban turbine
culler color phosphorous phosphorus
cane cain penny penni
quean queen tis teas
auger augur racket racquet
bailie bailey cruel crewel
sense cents sum some
tulle tool waste waist
leis leas leaf lief
have halve made maid
pare pair poor pour
sower sewer sown sewn
leas leis therefore therefor
axle axil parr par
heir aire tail tale
auntie anti wheeled wield
eve eave guessed guest
chantey chanty saccharin saccharine
ai aye toke toque
shoot chute millenary millinery
musth must par parr
adulteress adulterous bay bey
heald healed infusor infuser
bough bow wynd wind
hoar haw mot mho
isle aisle prophesy prophecy
taille tael wye why
apse apps stair stare
buy by retch wretch
bitten bittern taupe tope
air eyre sowed sewed
gristly grizzly whined wynd
adze adds leys lase
chantey chanty concent consent
fourth forth rock roc
sewn sone tun tonne
bitten bittern pare pear
burd burred roomie rheumy
indite indict whys wise
butte beaut parol parole
seize sees teem team
brane brain warn worn
air heir mot mho
you yew jinx jinks
axil axle tung tongue
misses missus paschal pascal
receipt reseat watt wot
grade grayed slew slough
serif seraph succor sucker
axel axle remark remarque
hoe ho role roll
complement compliment write wright
jewel duel pas pa
caulk calk scye sigh
ass as coffer cougher
cay quay wart wort
idyll idle serif seraph
chrism chrisom duel jewel
coal cole sault sou
dray drey to too
lowed load sea si
lune loon peak peke
peke pique vial vile
leased least pique peak
presidents precedence referents reference
conker conquer discussed disgust
baize beys use ewes
fees feaze villus villous
mil mill mussed musth
grosser grocer tyre tier
hold holed oh owe
mead meed meat mete
cubicle cubical won one
permanence permanents quad quod
call col heroin heroine
perse purse prior prier
aunt ant confectionary confectionery
wynn win winze wins
aery airy sennit senate
intense intents tier tire
mien mean silents silence
joule dual psi xi
chough chuff grievants grievance
burred bird earn urn
crews cruise miner minor
inductance inductants lama llama
crumby crummie rock roc
miner minor relaid relayed
councilor counselor premier premiere
mho mow precedence precedents
mite might wacks wax
billed build rein rain
pawl pall pressor presser
cops copse sigh scye
census senses tix ticks
ayre eyre fakir faker
mast massed scye sigh
cession session phi fie
mach mac vial vile
logger lager mesne mien
rocky raki surge serge
juice dues sire sigher
missal missile tensor tenser
cowered coward vial viol
preys prays tack tach
flier flyer incompetence incompetents
core caw devisor divisor
choose chews reseed recede
firs furs sleave sleeve
crater krater idle idyll
allusion illusion shone shown
gourde gourd stoup stoop
conn khan meting meeting
farrow faro mien mean
drachm dram owe oh
roar raw wight white
aye ai counselor councilor
narc nark pair pare
roomer rumor versed verst
whiled wild you're yaw
lox lochs you're your
forbear forebear prise pries
boll bowl in inn
cause caws discussed disgust
rite write there they're
fare fair precision precisian
aisle i'll lede lead
mall maul sacques sacs
riot ryot whether weather
rood rued weighed wade
grizzly gristly toed toad
bailer bailor dual joule
pox pocks shire shyer
cete seat wile while
aerie eyrie leader liter
immerge emerge therefor therefore
sou sault toon tune
quire choir premiere premier
culler color horde hawed
sacque sack tael tale
sensor censer sol soul
sown sone slue slew
infuser infusor troupe troop
pah pas she shea
doughs doze tai tye
flew flue paws pores
missal missile tort taut
haw whore tees tis
how's hows roomie roomy
bale bail salter psalter
fish phish sword soared
faker fakir manor manna
dust dost pend penned
lear leer moor maw
nae nay nickel nickle
pouf pouffe tier tyre
halve have rode road
receipt reseat timbre timber
whose who's wise whys
sun sunn toady tody
can't cant mourn morn
anti ante missal missile
laze lase whine wine
gilled guild nose knows
deuce juice purest purist
cession session salvor salver
gibe jibe sun son
hick hic rang wrang
juice douce mussed must
ire eyer squalor squaller
dissent descent wean ween
rest wrest where wear
scents cents gilt guilt
petrol petrel saw sore
bruit brute doughs doze
censor censer holey holy
caw corps phat fat
reel real torte taught
bawl ball paean peon
basest bassist wynd wined
gored gorde rang wrang
nit knit lase leas
callus callous lough loch
hair hare hoe ho
cosey cosy stoup stupe
serf surf whined wind
cole kohl whacks wax
arc ark pistol pistil
cops copse tulle tool
descendent descendant larva lava
sellar seller rhumb rum
caw corps dust dost
champaign champagne chantey shanty
eyre heir grievance grievants
blare blair lo low
duct ducked whether weather
ail ale mite might
cannon canon clairvoyance clairvoyants
forego forgo lyse lice
discreet discrete leys leas
crews cruise patten paten
bees bise exorcise exercise
aid aide pah pas
bruise brews lox lochs
condescendence condescendents pleural plural
grieve greave story storey
bourne born lase leas
crosse cross fat phat
dost dust lute loot
grate great resistor resister
queen quean sick sic
lac lakh principal principle
belligerence belligerents dues juice
clique klick made maid
ide i'd rain reign
laager lager viol vial
sault sue toon tune
dual duel guild gild
bitten bittern nap knap
accidence accidents installation instillation
forte fort tar tahr
chants chance more moor
blair blare desert dessert
inductance inductants weaver weever
berth birth rumor roomer
bogey bogie hoard hawed
nix nicks pallet palette
dock doc pika pica
buoy boy levin leaven
tarter tartar you're yore
dewed dude pees pes
haw haw loess less
mite might remittence remittents
ayre are mite might
whored hawed pique peak
censor senser parse pass
fils fills pique peak
brows browse grate great
bailey bailee wyes whys
baa bah panne pan
adulteress adulterous aire eyre
bailer bailor cot khat
caddy caddie hick hic
flu flue yore you're
brane brain dewed dude
handmade handmaid leader lieder
accidence accidents camera camara
quire choir sonny sunny
bazaar bizarre tied tide
cousin cozen loupe loop
undo undue vice vise
shoot chute conch conk
lie lye weigh way
cocks cox jewel dual
adulteress adulterous ante anti
equivalents equivalence launce lance
kernel colonel me mi
sewer suer tonne tun
burd burred led lead
titer tighter whether weather
bust bussed mow mot
berg burg slay sleigh
by bi peak pique
missed mist whined wind
told tolled weir we're
or awe nu new
auk awk beryl barrel
dowse douse wheeled wield
poor pour pried pride
hae hey pupil pupal
phial faille tie tai
fought fort par pa
cocoa coco consulter consultor
friar fryer sou sault
aerie airy repeel repeal
polar poller prase praise
callous callus vise vice
areal aerial tun ton
booze boos heard herd
descendent descendant porn pawn
overseas oversees poor paw
hist hissed poler poller
feign fane whose who's
die dye root route
sew so wheeled weald
cite site leis leys
gin jinn lode lowed
carrel carol meeting meting
sensor censor hey heigh
bait bate picnic pyknic
ore oar teem team
censor sensor impotence impotents
sigh scye si see
martin marten whacks wacks
parr pah rabbit rabbet
baloney bologna seer sere
misses missus sow sew
buccal buckle stoop stoup
carrot caret sandhi sandy
bootee booty chaise shays
chord cored rows rhos
pascal paschal tics tix
aye eye aery aerie
firs furs gneiss nice
cash cache knows nose
dowse douse sown sewn
gourd gaud nae neigh
bay bey bourne born
flee flea tonne tun
chronicle chronical leach leech
heal he'll spitz spits
collar choler fear fere
continence continents lain lane
bourne born gaiter gator
doh doe pleas please
karat carat set sett
laze leys summery summary
foaled fold pics pyx
bald bawled sore soar
eyrie aerie pi pie
lays lase pinon pinion
sloe slow whined wind
mowed mode stye sty
racket racquet stoop stupe
bit bitt sync sink
dual duel phlox flocks
chronical chronicle tier tyre
heeled heald midi middy
hie high worst wurst
flocks flocs pear pare
pearl purl tucks tux
forth fourth poor pore
rose rhos verdure verger
reel real rex wrecks
burley burly tea ti
seller cellar succulents succulence
lays leas neigh nae
dues deuce dyeing dying
hae hey tolled told
gibe jibe racket rackett
air ayre racquet racket
fennel phenyl sew sow
clue clew wicker whicker
aery airy patten pattern
cane cain weak week
batt bat minor mynah
flea flee lei lay
farrow faro presser pressor
cloze close resistants resistance
chough chuff heigh hay
came kame lier lyre
bunt bundt sink sync
burr bur rede read
airy aery ere are
mail male minks minx
knew gnu incite insight
crewed crude morn mourn
bailey bailee purist purest
manor manner write wright
bailer bailor puttee putty
away aweigh links lynx
senses census equivalence equivalents
chin chine we'd weed
correspondents correspondence cousin cozen
choc chock yaw you're
acclamation acclimation penny penni
culler color cop kop
bundt bunt warrantee warranty
stye sty taut tort
dun done tack tach
bruit brute moor maw
dour dower six sics
ayre ere leas leis
file faille leach leech
add ad paean peon
awl all peke peak
shays chaise toll tole
medal meddle pocks pox
bore boar pee pe
hic hick nay nee
adolescence adolescents step steppe
ass as radical radicle
cruise cruse psalter salter
wrapped rapped trey tray
assent ascent ducked duct
lore law lightning lightening
roes rose sleave sleeve
load lode vile vial
bourne born chanty shanty
pard parred sutler subtler
pe pee whacks wax
scye xi tax tacks
in inn pease pes
quay key tighten titan
bi bye weakly weekly
lone loan teas tis
lase leas preys prays
bow bough vice vise
lore law wot watt
